gene id,gene name,mcf7_sicbx2_3_rep1,mcf7_sicbx2_3_rep2,mcf7_sicbx2_3_rep3,mcf7_siscr_rep1,mcf7_siscr_rep2,mcf7_siscr_rep3
ENSG00000196961.12,AP2A1,86.2604804,95.2722562,106.658999,43.306574,48.097722,45.77368
ENSG00000196972.9,SMIM10L2B,0.234898,0.309418,0.471388,0.0327689,0.0312746,0.0415216
ENSG00000196981.3,WDR5B,12.8429,13.2964,12.1283,4.50395,4.7391,5.04317
ENSG00000196998.18,WDR45,31.525403,35.83472542,35.91118,16.317538,18.1042053,22.8873433
ENSG00000197008.9,ZNF138,19.36701,19.031844,15.787937,6.317069,5.508984,6.100351
ENSG00000197013.10,ZNF429,26.193128,29.302616,26.763437,6.168893,5.92625,8.174617
ENSG00000197016.12,ZNF470,0.9825405,0.5628585,0.6099721,0.0776365,0.28698112,0.27415078
ENSG00000197020.11,ZNF100,7.749661,8.061987,7.04693,4.268334,3.625926,4.379983
ENSG00000197043.14,ANXA6,61.430912,62.716433,32.983688,15.852451,17.0297985,10.36735021
ENSG00000197044.11,ZNF441,0.726374,0.75459,0.683978,1.093053,1.222852,1.0835082
ENSG00000197045.13,GMFB,45.80386,43.786536,38.8627,83.516995,74.739655,76.967238
ENSG00000197081.13,IGF2R,48.3889329,49.691357,55.6187398,18.4880117,16.9679292,21.9885162
ENSG00000197111.15,PCBP2,1060.554324,1191.48189,935.499057,592.514125,593.523517,586.068641
ENSG00000197121.15,PGAP1,2.0143,2.231467,2.721949,3.4984,3.193301013,4.074397
ENSG00000197136.4,PCNX3,45.387494,44.34024,58.57121,15.213509,16.763055,20.81027
ENSG00000197140.15,ADAM32,2.783230558,2.0051354,2.2379456,1.1969531,1.2201406,1.354219
ENSG00000197147.13,LRRC8B,3.7480517,3.279211331,3.440667014,7.961847,8.0713156,7.60411
ENSG00000197162.9,ZNF785,10.096847,9.084859,11.318499,6.10976,4.9395,5.18983
ENSG00000197165.11,SULT1A2,0.722872,0.880587,1.1410983,1.761992,1.553465,2.428223001
ENSG00000197168.13,NEK5,2.392286,2.433968,2.5877945,0.407105,0.49093376,0.4847802
ENSG00000197191.5,CYSRT1,6.263928,8.852424,5.79795,52.15907,54.88744,32.33853
ENSG00000197217.13,ENTPD4,12.92194,12.017556,13.741582,22.26105,18.268205,18.278404
ENSG00000197238.4,HIST1H4J,122.291,128.834,253.613,74.6078,85.491,80.3799
ENSG00000197249.13,SERPINA1,3.82946,2.8715384,5.377902322,5.856311675,5.676948,9.1196912
ENSG00000197256.10,KANK2,84.361952,99.49115,73.9915818,55.2767955,44.836388,41.7361747
