gene_id,gene_name,mcf7_sicbx2_1,mcf7_sicbx2_2,mcf7_sicbx2_3,mcf7_siscr_1,mcf7_siscr_2,mcf7_siscr_3
ENSG00000178665.16,ZNF713,3.669927,3.699875,2.086677,0.8458431,0.9733951,1.041429661
ENSG00000178761.15,FAM219B,51.787884,60.65483,61.23127662,17.862115,12.388388,14.22382281
ENSG00000178814.17,OPLAH,12.482719,10.732554,9.801703,4.270598,5.86174,4.52307
ENSG00000178922.16,HYI,15.15392,13.863983,18.947769,6.210897792,5.002077,5.295136
ENSG00000178951.9,ZBTB7A,44.7819,49.8656,62.2729,24.5631,22.7212,28.3703
ENSG00000178980.15,SELENOW,673.213704,548.0325863,477.161534,317.4728425,331.063319,220.060029
ENSG00000178988.11,MRFAP1L1,99.8589,102.3285,97.6086,57.1174,55.46447,56.02
ENSG00000179010.14,MRFAP1,735.632357,753.32176,659.536506,307.536558,295.143,272.632054
ENSG00000179029.14,TMEM107,14.622732,14.095743,13.65385,5.814643,5.284726,8.980788
ENSG00000179044.16,EXOC3L1,5.7810878,5.459797616,6.969265,1.2221461,2.080329,2.7882622
